feature,importance
hours_streaming,0.7264488347403972
network_type,0.18091357443545136
plan_type,0.057744171615405036
hours_social,0.0168106562319316
hours_gaming,0.008302510717023332
hours_messaging,0.006402246649849022
age_group,0.001263238255595491
is_peak_hour_user,0.0005695805165915736
is_weekend,0.0005275542393040819
device_type_Mid_Range,0.0005096671230776438
device_type_Premium_Smartphone,0.0003400765205845632
device_type_Tablet,0.00011196234793789542
device_type_Basic_Phone,5.592660685116576e-05
