scenario,n_rows,rmse,mae,r2,mean_actual_gb,mean_predicted_gb,rmse_delta_vs_baseline
Baseline,5000,0.9672,0.4607,0.9455,3.322,3.427,0.0
1. Heavy users heavier,5000,1.1992,0.5767,0.9489,4.054,4.161,0.232
2. Light users increase,5000,0.9695,0.4705,0.9442,3.386,3.499,0.0023
3. Streaming increase,5000,1.2189,0.6241,0.9427,4.382,4.53,0.2517
4. Social decrease,5000,0.9561,0.4553,0.9444,3.152,3.27,-0.0111
5. Weekend behavior,5000,1.0288,0.4999,0.945,3.557,3.666,0.0616
6. Unlimited plan shift,5000,1.107,0.5241,0.9449,3.691,3.811,0.1398
